review,talks_about
"house. nicely balanced, feels like oak perhaps lees? honeydew melon, honey, rosemary, papaya. complex fruit forward lower acid. probably would guessed sauvignon blanc. bubblegum. refreshing, thirstquenching",food combinations
"scott white recommendation scott steered great wines. whispering angel ros , honig sb, this. cringed bit price said im worth it. glad did. lots tropical citrus flavors touch oak. peach finish. 90 point wine enthusiast.",value for money
"bottle seven years old. saved wanted see might age. still gorgeous, one favorite whites. softer, rounder, fuller. ripe asian pear, peach, honey, bit butter caramel oak well. citrus still there, tangerine grapefruit, background.",food combinations
love spicy note sitting top gooseberry awesome sauvignon blanc californian expect nothing less merry course.,taste
"fantastic sonoma sauvignon blanc complex profile. flavors white peach, tangerine, lemon, grass, guava, pineapple, coconut, vanilla, hint minerality. oak barrel fermentation gives softer acidity adds character creamy texture.",taste
"found back cellar thought maybe 4 years past prime. surprised still lot life left it. sweet palate, notes pink grapefruit mon zest. mouthfeel creamy. bright mellowed acidity.",taste
"stop. one. better lail, cuvasion california sav blanc. measure near perfect wine. pale straw color notes tropical fruit lemon zest light bodied crisp fruit expression. acidity comes waves harmonious blend fruit making finish clean dry. palate white peach, honey crisp apple, hints lime tart kiwi 95pts",other
impresses premium sauvignon blanc isnt overly fruity way like lot others mellow cornucopia fruit. melon strawberry honey dew blueberry. name got little crispy little soft oaky. excellent,taste
"medium plus body sb, round, showing oak notes, lees, stone fruit tropical, high alcohol concentrated, quite long",taste
benchmark cali sauv b. balanced wine. fruit ripe overly so.,taste
awaesome white !!! enjoy friends !!,taste
oaked sauvignon blanc really awesome combination,taste
"different sauv blanc, crisp richer normal. good.",other
even better drinking sonoma,other
"great sauvignon blanc!!! aromas melon, pear, minerals. high acidityfreshness mouth.",taste
"wow impressive robust sauvignon blanc green apple, pear cotton mineral lime beautiful",taste
holds,other
really nice cab sauv,value for money
nice light!,taste
citrus oak pear peach melon cream butter lemon apple honey,food combinations
served wine wedding. really lovely wine ill drinking years come.,taste
citrus oak pear lemon minerals stone grass straw banana,taste
"many tropical flavors clear oak usage provide complexity. pale lemon color. grass, pear, grapefruit, green apple skin, pineapple, white blossom, nectarine nose. dry. high acidity. cream, pineapple, lychee, vanilla, lime zest.",taste
"light golden color. nose pear, pineapple, cotton candy bit sage. mouth pineapple, pear, modest residual sugar, medium acid hint bitterness. long pear sage finish. abv 14. think maefield estate vineyard. varietals sauvignon blanc shenandoah clone 1 67 sauvignon musque 33. 5 mos french oak 18 new batonnage 2xwk. definitely better least hour slowox. wine spectator 95.",taste
"color light yellow viscosity high aromas mango, tropical, guava, honey, pineapple, mineral melon tannins none acidity medium alcohol 14.0. grape varietal 100 sauvignon blanc impression much herbaceousness typical sauvignon blanc. tropical easy drink.",taste
"sauvignon blanc russian river, sonoma acknowledge wine good complexity, intense oaky aromasflavors overwhelming. reminds oaky chardonnay. fullbodied acidity.",taste
"bare naked ladies 4th vintage today. hot midoctober, mid 80sf 30c. sb helped. structured, complex aromatic vintage enjoyed far. pale yellow, aromas elderflower, pineapple, melon, citrus zest barest hint green herbs. dry ripe. round lush palate, medfull body 14. balanced crisp, medacidity. unctuous palate white peach, quince lychee. vanilla sprinkle white pepper mid. chalky slate finish saline edge.",taste
"pale color. nose citrus pear peach oak tropical lemon melon pineapple cream butter green apple stone fruit honeyamazing nose. mouth pairs nose oak, citrus, cream toasted coconut mediumfull body sauvignon blanc, medium acidity, mediumlong finish. good wine.",food combinations
"sb thinks chardonnay. great. matter fact, chardonnay. least killer white bordeaux blend. top notch somms would swear chard. leafy vegetable. wow. yum. guys up. cheap, mind you. goooood. love this. balance balance balance. delicious white wine. ty",taste
"barrel fermented lees stiring open quite grassy evolves white peach, floral frangipani, corn touch vanilla. palate moderate acidity, good concentration, firm texture, slightly warming alcohol touch bitterness good length. really benefits aeration. became lot aromatic gained weight. drinking well now, evolve bottle another 23years.",taste
"pale lemon color youthful medium plus intensity nose. citrus, oak, peach, pear, tropical fruit, melon, cream. dry, medium plus acid, full bodied, high alcohol medium plus intensity body. long finish. oak, cream, vanilla, citrus, lemon, tropical fruit. wine definitely sees oak aging nz zippy sauv blanc. minerals. outstanding quality wine. drink now, suitable aging.",value for money
"163584282abbey weis blinded me. appearance pale lemongreen, rim variation. nose med intensity. white blossom, honeysuckle. green apple, yellow apple. something metallic. white peach, bruised apple, candied. oil. tropical. palate dry, exactly heavy fruit. medium acid. med body. luscious mouthfeel. high alcohol. med flavor intensity. minerality, white pepper spice. oak? peach, banana, bitter acidity, red apple. ripe fruits. finish med med bitter acidity. guessed ny riesling. good!",taste
"elegant medium intensity aromas flavors apple, pineapple, apricot, white peach, nectarine, elderflower, brioche, clove, vanilla smoke. hint dried apricot honey. good quality, balancing aromatics hint oak. interesting style batonnage, 18 new french oak.",food combinations
"4.1pts. merry edwards sauvignon blanc 2022. first time taste beautiful sauvignon blanc. merry edwards winery founded 1997 one californias first highly successful female winemakers. winerys vineyards influenced pacific ocean, cooling fog, sandy soils attributes lead production rich, ageable wines. silky smooth, bright acidity, complex balanced. aroma lemon, pineapple, lime zest, acacia, melon, vanilla minerals.",taste
absolutely amazing sauvignon blanc. fruity soft mostly citrus maybe green apple. well built quilibrated . soft flavorful. pairs well light seafood like scallops.,taste
"wonderful peach full, sweet sauv b",taste
"buttery, pear, good amount sweetness, refreshing, pairs well fish",taste
time favorite sauvignon blanc beautiful honeysuckle floral notes. cant describe magic tongue! amazing.,taste
got yummy mouth you.,taste
"light, slightly dry mildly acidic notes melon, peach, citrus, caramel, butter oak",taste
tropical yet fresh.,other
"2019 didnt disappoint. pear forward hint melon, slightly citrus finish balanced perfectly boiled lobster.",taste
beautiful wine. agree ws94 notes.,taste
big canyon wine tasting.,taste
smoky...and smooth sultry. enjoy.,taste
"fabulous, balanced near perfect wine.",taste
omg. grapes pressed service will. better dying vine.,taste
sauvignon blanc. sophisticated rounded average blanc. reaaal good. never disappoints bit expensive bottle white wine isnt it?,taste
"john gails, incredibly light yummy",taste
citrus oak peach pear tropical melon,food combinations
soft smooth. acidic. sauvignon blanc chardonnay lover,taste
"pear nose palette. floral, light honey, melon, touch butter. sweeter side crisp acidity, heavier body, almost jammy. complex, refreshing, delightful.",taste
wine excellent white. that's great sharp dry. emphasize grape sweetness,taste
"2019 4.5 pts indian barbeque complete without bottle. time pared light tomatobased egg curry, worked like charm.",taste
"caramel, grass, butter, citrus nose. tastes grapefruit, lemon, pear, vanilla. good sauvignon blanc",taste
"clean, pure, balanced. wellintegrated fruit. calming nose. slight pepper finish. good youre going get cali white.",value for money
"nice pleasant wine. sweeter initially expected, still overbearing right moment pivots crisp finish.",taste
"beautiful, crisp white. similar nice bordeaux whites. worth extra money like fuller body savignon blanc vs. thinner less expensive one.",value for money
"great wine, oak shows much chardonnay. crisp acidic typical sauvignon blanc. would definitely buy again.",value for money
"really superior sauvignon blanc, rich complex. pear, apple, citrus , honeydew honey moderate acidity. honey lingers palate. real treat",taste
"slightly heavier side sauv blanc little oakiness. lots tropical fruit, stone fruit, pear bit citrus. bit spice vanilla. smooth finish.",taste
"dark straw color. medium full body sauvignon blanc. well balanced light acidity. delicious grapefruit, honey, apple ripe pineapple. long finish light minerals.",taste
one better whites ive tasted while. earthy floral aroma. bold fruit upfront settles mince finish. sweet sour! right!,taste
"pale yellow pleasing aromas citrus tropical fruits, adding spice biscuit notes. palate complex palate flavors, fresh fruit, pineapple, lemon, grapefruit, peaches asian pears. slight earthiness smooth creamy well balanced finish ending gentle yeasty character. nice! consistent quality! age well!",taste
"one time fav wines hugely tropical, floral notes honey dew melon. tastes sweet dry. medium body elegant",taste
"clear, pale lemon. clean, medium plus intensity aroma pineapple, honeysuckle, lemon curd. dry, medium plus acidity, medium body long finish.",food combinations
great sauv blanc. rich fruity. plenty thick citrus flavor. velvety buttery texture pairs nice deep pear melon notes appear finish. probably best sauv blanc had. oak overly perceptible. impressed balance wine. anything funky let's settle great summer day afternoon drink.,taste
"2017 vintage enjoyed august 2019. needed little time open. quite enjoyable sauv blanc. notes similar rocky t. smooth, creamy, wonderful hints citrus, melon addition pear peach flavors. nice oak notes. understand would sweet fruity some, find valuable sb, memorable, wanting more. go me. 4.54.75",taste
"wow, real treat, beautifully balanced cali sauvignon blanc. nose, honeyed tropicality partners usual grassy grapefruit. palate unfolds taste more, ethereal body complementing vibrant acidity. finish days. truly lovely wine. thank lovely gift, 13969744carlos v!",taste
"may best ca sauvignon blanc ive had. fantastic structure though overly acidic slightly creamy mouthfeel. complex wine lingering finish. lemon, lemon curd, floral notes. super impressed wine.",taste
"great sauvignon blanc one favorite producers. sharp acidic bit alcohol typical sauvignon blanc, big bold wine. melon pear apple tree fruits. decadent also crisp. great choice warm summer night. cant wait next bottle this.",taste
"consistently excellent sauvignon blanc steroid producer. color pale straw. nose palate perfectly synchronized lovely notes honeydew, apple, pear, pineapple. none yucky acidic, grapefruit note producers known for. acidity spot on. delicious.",taste
"dominus palate dominus beyond wine dinner oven roland herman, maison marques domaines, attended nat ellingsons 61924. merry one californias first women winemakers hated sauv blanc drinks like chardonnay. 13 highly floral sauvignon musque clone sancerre 23 shenandoah clone classic herbal grassy character. 18 new pack 6mo biweekly lees stirring. melon, apple hints kiwi. paired bhutanese vege. 59",other
"one time favorite sav blancs, beautiful floral aroma, mix citrus melon, beautifully balanced right crispness. exceptional.",taste
"wow! nightcap watching falcons ! huge nectarine, orange peel, soft vanilla infused oak moment. aging added subtle enjoyable oxidation! wow!!!",taste
"absolutely amazing burst citrus notes honey, apricot, pear. would drink again. paired vegetable orzo caramelized tomato sauce shrimp.",taste
would guessed chard almost. really smooth. different sav blanc goodcool way,other
2018 vintage. light clean color. melon notes pepper high powered finish. would buy again.,value for money
citrus oak peach pear tropical melon cream grapefruit lemon pineapple minerals apple apricot honeysuckle stone fruit,food combinations
tropical fruits. favorite sauv blanc. loses flavors gets warm. cool flavors come back.,taste
citrus oak peach pear tropical melon cream butter grapefruit lemon pineapple vanilla minerals apple honey stone green apple honeysuckle,food combinations
"brought home winery. fresh, light, crisp still flavorful well balanced. would definitely get again.",taste
"one best sauvignon blancs continent. body, balance, depth spot on. flavors citrus, tropical fruit, good minerality acidity.",taste
"pale green gold glass. pineapple, tropical fruits nose bright acidity. green apple, stone lingering finish. absolutely fantastic always.",taste
sept kwons. best combination sav blanc chardonnay flavors,taste
really good.,taste
outstanding white. taste citrus peach,taste
citrus oak pear grapefruit,taste
grapefruit pear cream oak lime guava,food combinations
"good sauvignon blanc get. soft, crisp, full flavor. highly recommend!",taste
honeysuckle floral lemon curd. big bold flavors light color. super cool.,taste
"one unusual, unique sauvignon blancs ever had. round, less crisp, still refreshing. loved it.",other
outstanding sav blanc really enjoyed l. definitely buying,taste
home peach cream yummy,taste
"delicious always. crisp green apples, melon, honey, citrus, yeast, hay.",food combinations
"peach, sweet melon vanilla",taste
fruity peach pineapple,taste
nose taste butter orchide peach taste pallet quincy peach pear lychi,taste
"green apple, light stone fruits, medium body less crisp nz offerings.",taste
"light, fruity, pear caramel hint oak cinnamon",taste
"light, buttery sauv blanc. excellent sea bass kaluuz",taste
4.3 sharp tarty apple bretty flavor dry viney finish.,taste
love,other
excellent acidity balance fruit alcohol.,taste
smooth fruity. great seafood.,taste
"good acidity, balance, rounded body lots fruit. lovely minerality, citrus stone fruits",taste
pineapples creamy.,taste
best sb entire new world.,other
beautiful. thought 2018 significantly better 2016. brand went long way earning trust back! revisit.,other
chef tre dinner oct2020,food combinations
nice melon wine. look label,value for money
"creamy, smooth, low tannins , fruit forward , lovely",taste
one time favorites.,taste
one favorite wines.,taste
"consistently delicious wine! stone fruits, round mouthful, medium full body, long finish.",taste
one favorite whites! perfect summer,taste
"sauv blancs go....this steller!!!! crisp, clean, sugar brix balanced worth every dime",value for money
"interesting, unusual sauvignon blanc. would rather pair poultry seafood.",other
"super clean. fruity, full bodied, ripe still balanced acidity. thanks stephen",taste
"smooth, pear, apple notes. delightful",taste
"light, great flavor",taste
delightful sauv blanc. long complex.,taste
fruit good acidity. smooth,taste
love love love sb long finish complexity,other
"simply delicious summer fare. however, similar quality available much less . enjoy.",taste
"2019. pretty solid sauv blanc nice balance reasonable complexity without many vegetal elements. got notes carmelized pear, hay, lemongrass, crisp green apple. ml occurred, felt palate slight butter flavors. however, worth 50.",taste
vegas tasted since ordered everyone. sweeter. floral side. good wine newbies. overly complex. boring though. fruity bouquet pleasing masses.,taste
"flavors tropical fruit dominant, also melon, pear, lemon, floral honeysuckle, definitely spent time oak butter sur lie creaminess.",taste
"beautiful sauvignon blanc intense, ripe fruits. citrus, mango, pineapple, balanced",taste
wonderful fruit forward drinkable wine!,taste
"4.7 king ca sb! ive loved 2019 vintage high quality producers merry edwards doesnt disappoint! rich lemon oil, apricot, honeysuckle. smooth like chablis!",taste
"mediumbodied, offdry aromatic, melon, peach, lemon, kumquat, vanilla, chamomile, cotton candy, white flowers, marshmallow, butter, white pepper, cream, straw, oak",food combinations
"smooth, seems sweet sauv blanc. light lemon, lower acidity, melon, butter, pineapple, easy drink, chicken picatta made taste sweet",taste
merry edwards happy kwanza! bomb ass dank ass bada slashes palette orange peel lemon pith. dont get citrus anatomy twisted,taste
sweet note though finishes dry. pinch seems okay favorite!,taste
still luscious delicious great lemon crisp pear,taste
"floral, vanilla, melon, orange, clementine, pineapple, lychee",food combinations
citrus peach pear tropical melon cream wauv!,taste
smooth! surprising sb! epic french dinner 2023,food combinations
"interesting sauv blanc, drinks like chardonnay",taste
usex2 tasting citrus oak peach pear tropical melon cream butter,taste
good. sure sb going rate 4 starts me. citrus tangerine,value for money
apple pear mint. easy going white.,taste
"clean opening, slowly creamy aroma honey appears. enoteca shopping.",taste
silky smooth beautiful light nose. sb grapefruit bomb.,taste
pear green apple zest,taste
"red, white blue tasting. lightly oaked. tropical fruit.",taste
"floral, bananas, great easy drink",food combinations
"wet grass nose hints lemon, honeysuckle, cantaloupe. nice wine.",taste
well made citrus peach tropical pear minerals excellent quality price ratio,value for money
drank sept 2023 california grill pear tangerine,food combinations
"phenomenal aperitif. sour gasoline nose unripe citrus fruits. finish medium acidity surprisingly subtle, creamy finish.",taste
"incredible sauvignon blanc. honeydew melon, nectarine, hints lime kind hazelnut notes. really enjoyable",taste
wow! green apple citrus mineral undertones nice balance smoothness. tart all. definitely stock summer,taste
"ca sb probably get better this. medium bodied elegant lemon tart, nectarine, tropical fruit. pricy sb worth it.",value for money
"wine 2... first rr sb experience. oak sb, interesting. complex, buttery, lemony, straight delicious!",taste
"always top quality sauvignon, premium. citrus nose leads creamy pear, honeydew grapefruit. intoxicating.",value for money
amazing sb. finishes strong minerality melon ball. get juicy stone fruit there. green apple.but citrus,taste
"citrus zest nose, medium body, dry, acidic, complex palate. outstanding sauvignon blanc good price. merry edwards rocks! 93100.",value for money
"exquisite wine. much floral fruit aromas. usual grassy nose common varietal. classy, elegant wine.",taste
"beautiful always. perfect many foods, especially valentine's. wine never fails impress. merry's version sb sublime.",food combinations
"golden color, nose fruity. trying small sip. smooth, crisp. beautiful notes various apples. absolutely delicious.",taste
"crisp green apple pear. picked oak notes. reminiscent chardonnay. delightful, well balanced wine leaves wanting more.",taste
never thought sauvignon blanc could sophisticated. eye opening experience reminder humbled.,other
"bright citrus scents lemon, maybe grapefruit. lemon tropical fruitsgrapefruit dragon fruit. crisp brightly acidic.",taste
best california sauvignon blanc. medium gold color balanced melon citrus hint grass reminds favorite french sancerre,taste
"can't praise one enough. great citrus flowery nose, similar palate. grassiness all. went well scallop crudo.",taste
"pale yellow color, lemon honeydew nose, fruity, peach mineral, lovely brightness, roundness finish, well balanced medium body white.",taste
perfect sauvignon blanc. bit sweeter traditional sb offsets mediumplus acidity. dry tart. fan. fukn. tastic.,taste
mayfair las vegas,value for money
"bright , meyer lemon infused , smooth finish",taste
vanilla oak lemon grass mineral peach stonefruit pineapple,food combinations
fresh expressing cheers!,taste
crisp delightful. would recommend anyone,taste
"fruta floral nose. balanced, complex nice lasting. loved",taste
great intensive sb,value for money
"nice fairly bold body. tropical fruit, definitely butter notes mineral finish. nice complex.",taste
soft finish. strong direction terms flavor profile.,taste
"smooth. low pleasant acidity. nice yellow color. notes citrus, minerals, apple, stone, little oak. nicely balanced enjoyable.",taste
"subtle refined. papaya brled grapefruit, touch honeysuckle. delicious.",other
"apple nose, citrus, green apple, sherry palate.",taste
wow. best sauvignon blanc remember. really fresh melon lychee. ill look buy again.,taste
toasty delicious similar good chardonnay,taste
enjoyed 2020 much 2018. lovely fruit beautiful creamy oily palate long finish.,taste
"smooth, melon, pear, citrus , vanilla, grapefruit. two votes 4.4 4.3. dinner la gare santa rosa.",food combinations
"consistently great. mazzeos house poker night 4.28.23, janice. great night!",value for money
"top notch! apple, pear, lemon notes nose. ripe pear flavors slight citrus front. buttery smooth minerals floral middle end right. paired beautifully woodfired pizza, arugula cauliflower. highly recommend.",taste
"pale straw colored showing nice viscosity glass wafts aromas lemon chiffon. nuanced yellow apple, starfruit, bell pepper, honeysuckle white pepper flavors palate show lean lightly salted mineral excellent balance. medium bodied wine set medium acidity, finishing tiny glint hazelnut. bx92, ws95",taste
"ripe, rich, enticing. plenty tropical aroma uniquely nutty twist extra heavy mouthfeel new oak fermentation lee aging. weight wine reflected weight bottle thick glass extra effect. bring wine dinner party, guests impressed.",taste
"pale lemon appearance nose pronounced aromas grapefruit, gooseberry, grass, papaya, apricot, honeysuckle, vanilla yogurt palate offdry touch rs, medium acidity, medium alcohol, medium body creamy mouthfeel, pronounced intensity flavors confirm nose, long finish outstanding wine, drink now. less .2 50 get lot great wine outside sauvignon blanc.",taste
"aroma compelling, virtually reaching grabbing attention. yellow peach, melon, guava crisp fuji apple accented hints tropical mango pineapple. lime, minneola tangelo orange blossom lend citrus notes. accents dry summer grass, vanillatoned panna cotta toasted crme brle create complexity.",taste
"straw yellow. lovely aromatic peach, pear, apricot, cinnamon nose. sweet stone fruit palate. medium plus body, firm acidity, smooth finish. common sauvignon blanc clone blended 30 sauvignon musque, giving higher residual sugar support sweet experience.",taste
"straw color, notes pineapple, tropical fruit, lemon zest, hint oak. extremely well balanced slight acidity. notes citrus, tropical fruit, pineapple, hint vanilla oak. amazing california sauvignon blanc",taste
"best sauv ive ever tasted. holy schmoly!!!! knockout wine. oaky buttery, beautifully seductive caramel toasty notesbut also passion fruit, rose hints honeysuckle. showstopper. oooh! mind blowing.",other
"clear lt lemon yellow. clean, delicate juicy apricot mineral. lt body medacid lt alcohol. fresh bright mid. long mineral lemon finish. 100 neural french oak. 68 month surlee. tasty delicate unique fume blanc.",taste
floral nose palate. pale straw hue prominent lily valley perfume babys breath. moderately acidic cantaloupe melon peach coming through. well rounded body mouthfeel.,taste
"one buttery sauvignons ive had. plenty lime green apple, passion fruit, peach coming front palate. summer cut grass herbaceous notes green bell pepper. frugal buy special one absolutely love it.",taste
"fantastic, undertones oak still classic sb flavor, really well balanced smooth truly unique sauvignon blanc",taste
"amazing wine. easy drinking, full flavor, refreshing. tangy. hints butter. peaches. crisp apples, like crunchy kinds. spiced vanilla. really good.",taste
"absolutely insane glass! think say sb. completely liquid gold, melted mouth. notes citrus fruit, oak, cream, honey.",taste
beautiful sav blanc crisp hint sweetness probably white peach hints learned winery make 10k cases wine loved,taste
citrus oak pear peach tropical melon lemon,taste
"truly delicious, made classic old world style. beautiful balance fruit acidity. real treasure russian river!",taste
"dry white honey, apple minerality. good",taste
bully boy oysters tuna wraps. amazing.,food combinations
butter butter citrus oak,food combinations
great,value for money
"top notch sauv blanc, stone fruit citrus notes, balanced sweetness contributed higher expected abv 14 notes honeysuckle",taste
21324 leigh ann b brought book club night house. e enjoyed w caviar vday.,taste
"round soft mouthfeel much smoother average sauvignon blanc. smooth notes pear, lemon maybe apricot. lovely wine!",taste
"absolutely loved husband splurged anniversary wine delicious! dont expect nz cali bear resemblance bright, smooth, well balanced. try this!",taste
"straw color glass. floral, spices, vanilla, stone fruit honey nose. peach pear ripe honey dew melon palate. lime peel, orange peel, peppery spices creamy long finish ..my favorite sb california....",taste
"fuller bodied sauvignon blanc explodes flavor, retaining crispness levity youd hope experience top quality sb. apricot, peach, pear lemon curd notes prominent.",taste
"sauvignon blanc spectrum, falls stone fruit driven tart tropical fruit driven types. like white bordeaux well balanced, degree minerality. rather high abv, evident palate. pricey. p246",taste
"delivers year year staple me. ripe, plump juicy sb big complex flavors. fragrant aromas ripe peach, pear, lemon, pineapple, honey, vanilla honeysuckle. palate lush creamy melon, peach, guava, lemon grass, butter mango citrus curd. finish long soft minerality, honey light spice. huge flavor unique sb creamy textures paired perfectly thai chicken noodle soup. dry, med body med acidity. pale yellow color. excellent quality!",taste
"2021 merry edwards sauvignon blanc russian river valley made pair cold asparagus soup. everything pale straw color crisp acidity slight creaminess 4 month sur lie 18 new french oak importantly, complex bouquet. bouquets tropical fruits like mangoes pineapples initially also citrus honeydews end. lovely way celebrate spring. dca restaurant student banquet",food combinations
"lemon, tropical fruits touch vanilla nose. easy drinker right amount acidity. ripe mellon, pineapple, pink grapefruit nice touch minerality. classic sauv blanc delicious none less!",value for money
"astounding one top sauv blancs, stuff damn treat whenever open it. call secret weapon queen california pinot. paired scallops lemon parmesan risotto broccoli, always amazing. get distracted bulls rodeo check ponies like one! creamiest mouthfeel paints palate flavors grapefruit, tangerine, honeysuckle lemon pulp insane integration. 93 pts",food combinations
"4.3 love wine. although last vintage sourced fruit non estate vineyards. gives much fruit characteristics estate vineyards. 2019 on, mineral driven. prefer fruit one, buy 2018s can! see french oak fermentation, 18 new. 6 months lees. fresh acidity med body, sumptuous mouthfeel. guava, peach, spicy pear, lemon zest, chalk. delicious.",taste
"peaches tropical fruit. oak butter, like chardonnay reason. otherwise, concentrated decent body",taste
"4.3. good 2018 still best sauvignon blanc usa. tropical fruit, caramelized apple, grass. well done!",taste
"fruit, intense honey initially, buttery citrusy fruitnectar emerging middledry crisplight bodiedamazing wine",taste
"yum. cantaloupe, guava, pineapple, lavender honey, elderflower, baking yeast, cream. medium bodied nice oily texture high acidity. long finish. little bit heat 14. nice.",food combinations
"aromas flavors guava, pineapple, candied fruit exotic spices. 100 oak extremely well integrated. wife took half bottle business trip.",food combinations
new fish last night monchong keeping fish count. . shrimp bamboo big merry edwards fan menu. yes please. big style sauvignon blanc barrel fermented richness creaminess lovely coconut rice lots tropical nuances guava mango citrus focus. light sprinkling baking spices. nice thick white match array food flavours. age still treat early. mahalo,food combinations
"91pts. 95ws wine spectator smoking ? fermented barrel bottanage using special clone sb smooth. rather intense flavors pineapple, marmalade honeysuckle honey melon medium plus acid touch residual sugar good amount oak dairy brioche good finish amazing",taste
"stone fruit, melon, restrained citrus, oak cream notes. fuller body expressions grape. interesting drinkable.",taste
"one finest sav blanc hv tasted . balanced acidity , fruity balanced sweetness",taste
"peach, butter, cream, grass. herbaceous savy bs ive recently oak influence definitely cool spin grape.",food combinations
"perfect. nose, first taste, like fairy dust blown face.balanced acids floral notes, gorgeous color. bull bear wa.glides palate.",taste
outstanding california sb. medium body medium plus acidity. outstanding flavors pear melon mango tangerine lemon grapefruit cream butter grass saline minerality,taste
floral scents. good fruit flavors balance minerals leave slight pinch cheek swallow.,other
"approaching condrieu levels elegance combined approachability. super fruity, super delicious, super super. tropical like new zealand touches oak california cant resist. almost certainly rs still dry refreshing expressive. beautiful wine. peach citrus honey minerals.",taste
"unlike sauvignon blanc ""we use specific mix clones twothirds shenandoah clone 1 onethird sauvignon musqu results wine brimming floral tropical fruit aromatics citrusy, juicy core. barrel fermentation twiceweekly lees stirring help us create characteristic creamy texture rich body"". dry, medium medium acidity medium full body 14 abv. complex palate, creamy tropical fruit pineapple continued",taste
"despite mentions pear, mostly get melon pear notes throughout, bit buttery taste smooth finish end. fairly long flavor profile. really tasty wine, would buy again. worth price.",value for money
